URL,GBP_Iframe_Source,Scraped_At,Status
https://squeegeedetail.com/car-detailing-hillsboro,\&quot;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2796.777038444787!2d-122.96670388786886!3d45.49443443129981!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x549511da64d9fffb%3A0x3e39ed129f02b00c!2sSqueegee%20Car%20Detailing%20Hillsboro!5e0!3m2!1sen!2sus!4v1733436824801!5m2!1sen!2sus\&quot;,2025-06-02T16:03:31.051Z,success
https://squeegeedetail.com/car-detailing-hillsboro,"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2796.777038444787!2d-122.96670388786886!3d45.49443443129981!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x549511da64d9fffb%3A0x3e39ed129f02b00c!2sSqueegee%20Car%20Detailing%20Hillsboro!5e0!3m2!1sen!2sus!4v1733436824801!5m2!1sen!2sus&amp;wmode=opaque""",2025-06-02T16:03:31.051Z,success
https://squeegeedetail.com/car-detailing-hillsboro,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2796.777038444787!2d-122.96670388786886!3d45.49443443129981!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x549511da64d9fffb%3A0x3e39ed129f02b00c!2sSqueegee%20Car%20Detailing%20Hillsboro!5e0!3m2!1sen!2sus!4v1733436824801!5m2!1sen!2sus&wmode=opaque,2025-06-02T16:03:31.051Z,success
https://squeegeedetail.com/contact-us,,2025-06-02T16:03:36.602Z,no_iframe_found
https://squeegeedetail.com/s/detail.png,,2025-06-02T16:03:37.415Z,no_iframe_found
https://squeegeedetail.com/car-detailing-lake-oswego,,2025-06-02T16:03:39.567Z,no_iframe_found
https://squeegeedetail.com/full-exterior-detailing,,2025-06-02T16:03:45.539Z,no_iframe_found
https://squeegeedetail.com/headlight-restoration,,2025-06-02T16:03:45.715Z,no_iframe_found
https://squeegeedetail.com/https://squeegeedetail.com/car-detailing-portland,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&amp;wmode=opaque,2025-06-02T16:03:47.176Z,success
https://squeegeedetail.com/https://squeegeedetail.com/car-detailing-portland,\&quot;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s\&quot;,2025-06-02T16:03:47.176Z,success
https://squeegeedetail.com/https://squeegeedetail.com/car-detailing-portland,"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&amp;wmode=opaque""",2025-06-02T16:03:47.176Z,success
https://squeegeedetail.com/https://squeegeedetail.com/car-detailing-portland,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&wmode=opaque,2025-06-02T16:03:47.176Z,success
https://squeegeedetail.com/ceramic-coating-portland,,2025-06-02T16:03:53.003Z,no_iframe_found
https://squeegeedetail.com/paint-correction-level-1,,2025-06-02T16:03:53.043Z,no_iframe_found
https://squeegeedetail.com/s/sc-bottle.png,,2025-06-02T16:03:53.567Z,no_iframe_found
https://squeegeedetail.com/headlight-restoration-portland,,2025-06-02T16:03:59.242Z,no_iframe_found
https://squeegeedetail.com/service-agreement,,2025-06-02T16:03:59.377Z,no_iframe_found
https://squeegeedetail.com/car-detailing-bethany,,2025-06-02T16:04:00.624Z,no_iframe_found
https://squeegeedetail.com/paint-correction-service-level-2,,2025-06-02T16:04:06.598Z,no_iframe_found
https://squeegeedetail.com/s/13-1.png,,2025-06-02T16:04:07.809Z,no_iframe_found
https://squeegeedetail.com/gift-card,,2025-06-02T16:04:08.233Z,no_iframe_found
https://squeegeedetail.com/s/12.png,,2025-06-02T16:04:14.716Z,no_iframe_found
https://squeegeedetail.com/s/10-1.png,,2025-06-02T16:04:14.789Z,no_iframe_found
https://squeegeedetail.com/s/11.png,,2025-06-02T16:04:14.825Z,no_iframe_found
http://squeegeedetail.com/headlight-restoration-portland,,2025-06-02T16:04:20.542Z,no_iframe_found
http://squeegeedetail.com/full-exterior-detailing-portland,,2025-06-02T16:04:20.593Z,no_iframe_found
http://squeegeedetail.com/car-detailing-portland,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&wmode=opaque,2025-06-02T16:04:21.970Z,success
http://squeegeedetail.com/car-detailing-portland,\"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s\",2025-06-02T16:04:21.970Z,success
http://squeegeedetail.com/car-detailing-portland,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&wmode=opaque",2025-06-02T16:04:21.970Z,success
http://squeegeedetail.com/car-detailing-portland,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&wmode=opaque,2025-06-02T16:04:21.970Z,success
http://squeegeedetail.com/engine-cleaning-portland,,2025-06-02T16:04:27.550Z,no_iframe_found
http://squeegeedetail.com/premium-car-wash-portland,,2025-06-02T16:04:27.834Z,no_iframe_found
http://squeegeedetail.com/ceramic-coating-portland,,2025-06-02T16:04:28.246Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/mastering-the-art-of-wheel-cleaning-6-steps-to-achieve-a-proper-shine,,2025-06-02T16:04:34.337Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/dish-soap-dilemma-is-washing-your-car-with-dishsoap-a-good-idea,,2025-06-02T16:04:34.361Z,no_iframe_found
https://squeegeedetail.com/s/spray.png,,2025-06-02T16:04:34.805Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/caring-for-your-cars-paint-avoiding-damage-and-preserving-its-pristine-shine,,2025-06-02T16:04:40.789Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/the-real-effects-of-car-wax,,2025-06-02T16:04:40.940Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/10-benefits-of-regular-car-detailing,,2025-06-02T16:04:41.075Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/the-pros-and-cons-of-self-service-car-washes-what-you-need-to-know,,2025-06-02T16:04:46.880Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/howtoget-rid-of-cigarette-smell-in-your-car,,2025-06-02T16:04:46.921Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/the-ultimate-guide-to-car-headlight-restoration,,2025-06-02T16:04:47.302Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/what-is-an-engine-bay-detail,,2025-06-02T16:04:53.384Z,no_iframe_found
https://squeegeedetail.com/squeegee-car-detailing-blogs/the-art-of-auto-detailing-understanding-how-long-car-detailing-takes,,2025-06-02T16:04:53.835Z,no_iframe_found
